x1,x2,x3,x4,y
5,4,5,6,-1.42019219
5,4,3,6,0.893317549
5,3,3,6,0.602548566
5,5,5,6,-0.04220005
5,6,4,6,-0.016915791
4,5,1,5,-0.408821812
5,3,2,6,-1.647750525
5,3,4,6,0.905959679
4,2,4,6,0.526695787
5,6,4,7,-1.154707466
5,5,4,6,-2.785542201
5,3,3,6,-1.230560244
4,4,2,6,-0.889222742
5,4,5,6,1.474855517
5,5,6,6,0.665759214
5,5,5,5,1.917330057
4,6,4,6,0.160074025
5,4,5,7,0.235926804
4,5,3,7,0.109505506
4,4,2,6,-0.813369964
4,3,2,6,-0.99035978
4,4,2,6,2.562078673
5,7,7,1,1.348434219
5,5,7,1,1.120875884
5,5,6,0,-0.105410699
5,4,6,0,-1.205275985
5,3,5,6,1.259939311
4,4,3,7,0.42555875
5,2,1,6,-1.003001909
5,2,4,6,-1.369623671
5,2,5,7,1.348434219
4,3,5,6,1.626561073
5,4,5,6,1.841477279
5,4,5,6,0.665759214
4,5,5,7,0.589906436
4,3,4,5,-0.345611164
4,5,3,6,3.130974511
3,5,0,5,3.295322197
4,5,2,5,-1.104138947
4,5,5,6,2.157530522
4,5,4,6,3.067763862
4,5,1,5,1.095591625
4,5,5,5,2.890774046
4,5,2,5,0.703685603
3,5,4,6,-0.332969034
4,5,3,6,-0.016915791
4,3,3,5,0.311779582
4,2,4,5,2.119604133
5,5,6,6,2.018467095
4,5,5,5,2.625289322
4,1,2,5,0.084221247
4,5,4,6,2.511510154
4,5,5,5,1.588634684
4,5,1,5,0.943886068
4,3,1,5,0.653117085
4,3,5,7,0.88067542
3,9,3,6,-0.434106072
4,6,4,6,-0.193905607
4,5,5,6,1.272581441
4,6,5,6,2.72642636
4,7,5,6,-0.49731672
4,5,5,6,-0.560527369
5,5,6,6,2.106962003
4,7,4,7,2.347162468
3,6,5,6,2.334520338
4,4,5,6,-0.257116256
4,6,4,6,1.967898576
4,5,5,6,1.487497646
4,5,1,6,0.86803329
4,4,1,7,1.588634684
4,3,5,8,2.347162468
5,4,5,7,2.549436543
4,4,2,6,0.210642544
4,3,1,6,0.058936987
4,3,6,7,0.374990231
4,4,2,0,0.324421712
4,5,5,7,2.600005062
4,6,4,6,1.980540706
4,6,3,6,1.892045798
4,6,1,6,0.033652728
4,4,2,6,-0.080126439
4,4,4,8,-0.029557921
4,6,6,7,1.980540706
4,6,4,7,2.878131916
4,7,2,6,3.459669884
4,4,3,6,-0.307684775
4,4,2,6,0.198000414
3,4,4,6,-0.585811628
4,5,4,6,0.261211063
4,5,4,7,-0.219189866
4,5,4,7,-0.219189866
3,6,5,6,-1.066212558
4,5,5,6,-0.459390331
4,5,5,6,-0.06748431
4,6,3,6,0.564622177
3,5,0,6,1.436929128
3,4,1,6,-0.05484218
4,5,4,7,-0.396179683
4,6,2,6,0.172716155
4,5,1,6,-0.49731672
4,6,2,6,-0.901864872
4,5,2,6,-1.217918115
5,7,7,1,0.071579117
5,7,7,1,0.046294858
5,7,7,0,-0.358253293
5,6,2,7,0.640474955
4,6,1,6,0.551980047
4,4,1,7,0.526695787
4,6,2,6,0.918601809
4,6,2,6,0.38763236
4,6,4,7,-0.016915791
3,6,1,6,0.273853193
